owner,quantity,price
Daisy Casey,18,$5800.82
Amanda Ruiz,61,$4911.26
Lee Alvarado,26,$5843.46
Gabriel Yates,45,$108.49
Lizzie Pierce,57,$3208.78
Cole Harrison,29,$2831.72
Paul Blair,49,$6023.51
Louise McGuire,58,$4459.70
Stanley Walters,35,$7485.83
Curtis Paul,54,$7167.18
Brett Rice,62,$8464.48
Fannie Hernandez,52,$8187.18
Eric Vaughn,20,$4810.27
Lelia Payne,43,$686.27
Daisy Allison,49,$326.72
Katherine Hubbard,20,$4336.41
Lillie Bowen,19,$6824.36
Jennie Pena,49,$7354.88
Wesley Burgess,56,$8012.60
Louise Grant,42,$716.89
Katie Schultz,59,$620.16
Warren Spencer,54,$3305.35
Julian Perkins,18,$9719.73
Nora Richards,33,$9116.97
Barry Miller,43,$8552.12
Myra Peters,42,$2688.50
Nelle Dennis,64,$3742.73
Keith Barton,58,$4131.36
Derrick Johnston,57,$8085.06
Micheal Curtis,46,$9584.27
Cody Duncan,24,$6807.57
Lilly Todd,39,$2403.99
Alex Burns,18,$7386.22
Chester Reid,29,$2472.45
Devin Richardson,37,$1615.94
Matilda Castro,46,$3723.38
Charles May,63,$297.24
Lucy Douglas,61,$7533.97
Glenn West,53,$9324.16
Lulu Jenkins,20,$80.45
Martin Beck,60,$5593.70
Kate Strickland,37,$4281.73
Jared Hunter,52,$7229.22
Bryan Johnson,37,$7981.22
Rhoda Reese,44,$8859.56
Eddie Brewer,32,$7396.22
Nathan Castillo,24,$9121.44
Brett Reid,43,$1632.64
Roy Estrada,19,$3443.54
Shane Cross,61,$2940.95
Polly Armstrong,61,$8020.55
Don Valdez,50,$973.07
Lura Cummings,46,$9504.57
Eva Carlson,41,$3220.04
Roger Reeves,49,$9687.77
Jay Walker,33,$1986.25
Austin Cruz,32,$9244.46
Jack Underwood,29,$2212.58
Mollie Chandler,23,$1836.13
Jerome Watson,63,$4484.11
Pearl Parsons,35,$3977.54
Olive Christensen,47,$8424.84
Leo Maldonado,49,$4257.44
Blanche Hart,63,$8262.75
Chester Morrison,60,$9056.10
Norman Brock,24,$5478.08
Ralph Garrett,48,$2838.20
Isabel Bell,23,$5578.20
Maggie Vargas,59,$6596.19
Austin Oliver,48,$940.29
Christopher Holmes,60,$4680.98
Warren Lindsey,41,$7714.04
Mathilda Ellis,36,$4059.41
Theodore Patton,60,$1027.17
Paul Mathis,25,$9237.72
Joel Riley,31,$5907.46
Elmer Powers,27,$3341.71
Jessie Leonard,45,$727.60
Nannie Harvey,46,$7496.85
Isaac Flowers,63,$1042.98
Bertie Lambert,63,$3229.72
Manuel Clark,63,$9314.79
Hannah Williamson,40,$2784.59
Cody McGee,22,$2639.99
Cordelia Clayton,56,$1164.06
Angel Phelps,45,$1580.38
Virginia Fields,29,$5931.00
Leroy White,38,$7947.19
Zachary Perkins,32,$4566.82
Adeline Brock,41,$6455.71
Lina Gordon,21,$5884.84
Sallie Cannon,19,$2366.04
Anthony Welch,20,$2321.69
Lora Kelley,63,$8357.82
Julian Gutierrez,39,$7148.68
Lucinda Parks,64,$9491.36
Adeline Wright,40,$7459.53
May Howell,32,$3452.65
Cecilia Stevenson,49,$3472.89
Zachary Massey,49,$5262.20
Ricardo Welch,39,$7811.79
Eula Young,48,$8843.29
Cordelia Webster,21,$1334.82
Flora Haynes,62,$8395.97
Loretta Bailey,36,$2324.03
Rachel Ball,47,$4758.89
Tony Jefferson,53,$7486.50
Adele Porter,22,$6973.63
May Lawson,54,$8430.52
Lula Warner,39,$506.46
Rosie Medina,42,$6570.26
Mayme Henry,31,$341.96
Carolyn Wallace,50,$8294.26
Polly Shaw,18,$5563.26
Harry Conner,22,$7744.20
Lucinda Santiago,24,$2305.66
Lou Baldwin,54,$7861.39
Jose Pena,22,$7427.30
Nelle Henderson,60,$3918.91
Margaret Holmes,24,$145.88
William Weaver,48,$5071.46
Della Cannon,54,$6434.21
Trevor Spencer,18,$2965.98
Edna Soto,46,$7078.13
Edith Bell,32,$6962.61
Irene Graves,51,$2047.55
Myra Cooper,27,$3531.30
Gary Burke,35,$3538.30
Ernest Mack,64,$5917.98
Nathan Hogan,44,$6053.84
Peter Sharp,25,$1011.69
Rodney Foster,41,$3785.72
Winifred Robbins,57,$7670.52
Lee Gutierrez,35,$865.91
Marie Bell,28,$5610.26
Estella Wagner,19,$8353.16
Lucas McGuire,37,$8549.36
Mable White,58,$2481.14
Dylan Brady,23,$3147.76
Francis Bennett,52,$1010.73
Jeffrey Phillips,63,$7491.38
Amelia Chavez,52,$1421.17
Seth Romero,52,$16.81
Manuel Alvarado,43,$736.66
Michael Bridges,59,$2754.92
Hester Ingram,61,$9840.04
Theresa Todd,53,$5709.34
James Holmes,41,$1268.84
Hettie Weber,60,$4268.73
Lucas Miller,46,$4969.96
Alvin Singleton,65,$3617.41
Minnie Briggs,49,$1750.44
Genevieve Lowe,40,$1864.92
Catherine Chavez,23,$3620.50
Louise Crawford,31,$143.06
Maurice Barker,46,$9531.78
Sara Sullivan,46,$3418.22
Tom Foster,33,$62.70
Anthony Warner,40,$5518.32
Kathryn Rowe,51,$3381.83
Lizzie Vargas,56,$8347.39
Dustin Page,48,$6391.56
Allen Farmer,37,$4970.45
Susan Page,52,$4372.65
Brent Lopez,59,$8624.50
Dora Duncan,34,$2322.00
Essie Herrera,59,$8793.70
Emilie Burgess,24,$6704.89
Julia Horton,28,$5645.64
Steven Cook,21,$3054.17
Nathaniel McGuire,56,$5850.78
Pearl Valdez,31,$3092.09
Lela Arnold,38,$7871.38
Bobby Munoz,20,$8596.64
Laura Carroll,53,$4817.94
Willie Stevenson,60,$925.56
Evan Kelly,31,$6735.85
Tony Reynolds,27,$6444.13
Sara Page,25,$105.79
Hattie Swanson,19,$7394.23
Leila Chavez,31,$6571.36
Mike Pierce,34,$2106.93
Elijah Brown,42,$447.19
Travis Chavez,42,$6308.76
Mason Lynch,50,$8271.86
Vincent Rios,55,$3332.16
Jackson Glover,56,$6115.48
Leona Sanchez,24,$4489.58
Irene Norman,50,$4927.58
Ora Barker,44,$2900.95
Ruby Moreno,47,$1760.19
Pearl Fowler,38,$2076.03
Darrell Alvarado,46,$914.07
Eunice Nichols,64,$3374.42
Darrell Douglas,64,$4396.87
Bernice Jones,28,$9633.94
Randy Hughes,45,$9083.49
Ernest Shelton,45,$6366.63
Vera Sutton,62,$5521.06
Betty Barber,53,$1993.58
Randall Soto,32,$9767.21
Gene George,50,$5205.67
Don Stevenson,31,$9222.40
Lawrence Dennis,18,$9908.84
Patrick Clark,54,$9641.56
Amy Maxwell,36,$8054.46
Susie Graham,62,$4252.09
Donald Bowers,45,$8730.62
Myra Alexander,45,$334.15
Hunter Howell,26,$6518.25
Adeline Quinn,22,$4331.08
Lida Griffin,20,$5933.79
Gary Owens,61,$7.47
Roger Dennis,18,$6468.74
Chester George,28,$7275.50
Isabel Kelley,28,$9408.04
Tyler Frazier,32,$3265.69
Francisco Ford,44,$7948.97
Harriett Vega,19,$8799.08
Elsie Murray,33,$9443.73
Elva Davidson,56,$6920.58
Frederick Brock,43,$195.94
Lester Roberts,26,$9342.64
Derek Caldwell,41,$8794.15
Jeff Kelly,25,$5495.00
Elnora Griffith,53,$3020.59
Jerome Christensen,38,$7047.47
Millie Bailey,42,$2075.11
Cecilia Bass,26,$3770.08
Wesley Craig,21,$9509.78
Lora Christensen,19,$2927.69
Martin Powers,52,$4581.02
Theodore Sutton,29,$5042.92
Danny Bell,51,$381.99
Nicholas Stewart,55,$309.03
Albert Todd,22,$6827.38
Lela Stewart,19,$5959.93
Dorothy Reeves,31,$8355.05
Harry McBride,44,$8478.49
Beatrice Silva,41,$8654.11
Alma Robertson,19,$3404.76
Benjamin Medina,36,$1793.84
Devin Payne,36,$7657.54
Willie Gregory,28,$1008.73
Dora Rodriguez,65,$8454.33
Fannie Klein,60,$4610.46
Effie Ross,23,$2026.36
Scott Wilkerson,45,$2025.66
Nathaniel Bryan,61,$7362.12
Marie Norris,40,$5911.60
Danny James,38,$2243.51
Dominic Wolfe,36,$8722.20
Ruby Logan,44,$414.34
Lottie Roberson,24,$7795.93
Jay West,50,$8828.59
Viola Gutierrez,63,$2419.71
Francis Cole,29,$4824.26
Alta Richards,39,$3866.44
Erik Thornton,26,$3550.20
Hilda Perez,18,$817.21
Gabriel Blair,21,$3450.26
Cynthia Herrera,37,$2541.20
Derrick Dawson,24,$4399.03
Nathaniel Meyer,49,$3415.83
Manuel Wolfe,60,$2064.15
Billy Johnston,19,$9385.23
Georgie Patton,58,$7905.45
Jared Malone,31,$813.44
Lester Ortiz,37,$8725.08
Jacob Perkins,61,$4611.39
Richard Turner,33,$2984.01
Ida Gray,65,$9553.47
Violet Phillips,45,$9013.28
Margaret Barnett,46,$9097.32
Tyler Ortiz,63,$4908.99
Viola Miller,62,$1342.59
Bernard Morris,20,$5356.69
Mina Reid,55,$5476.24
Alan Pearson,24,$3784.14
Bruce Olson,54,$6311.58
Mabelle Wallace,53,$2420.53
Cody Vega,45,$4650.23
Lillie Reynolds,35,$3005.97
Lloyd Wheeler,60,$7598.87
Jared Pittman,34,$8382.41
Sophie Lane,59,$8927.72
Jerome Nash,48,$7459.24
Patrick Lopez,38,$8292.94
Hilda Newton,24,$1427.13
Millie Zimmerman,52,$6681.15
Rosie Day,57,$8259.68
Nicholas Miller,25,$9188.84
Duane Jackson,36,$2260.74
Hunter Rowe,64,$3580.94
Brent Cortez,40,$9732.56
Nell Thompson,39,$7026.41
Terry Webb,30,$8357.42
Warren Porter,28,$9145.53
Lewis Powers,27,$6395.66
Jim Fuller,23,$9985.81
Marian Crawford,59,$2344.48
Lou French,39,$4470.66
Beulah Russell,56,$4486.10
Fanny Baldwin,62,$3853.22
Ernest Evans,46,$1008.15
Della Berry,33,$8309.16
Donald Jackson,35,$5932.94
Ian Scott,21,$5204.03
Andre Matthews,45,$4872.44
Cole Hines,25,$3925.02
Clyde Ramirez,23,$8591.91
Victoria Mathis,22,$7414.74
Maud Mason,32,$9815.32
Russell Ellis,45,$4978.02
John Richardson,40,$2611.63
Lucas Underwood,23,$4754.79
Mattie Lambert,61,$8539.40
Victor Haynes,29,$2950.01
Lena Davidson,59,$8748.42
Charlie Flores,30,$7132.94
Lizzie Harvey,28,$4809.28
Jerry Schultz,23,$9015.97
Grace Morgan,54,$6091.39
Frederick Meyer,59,$5573.41
Harriett Reid,52,$3415.69
Abbie Adams,47,$455.15
Olga Montgomery,36,$5092.29
Mary Floyd,47,$1244.31
Hallie Saunders,41,$4181.44
Lawrence Gibbs,59,$6230.10
Matthew Francis,19,$690.67
Francis Vargas,52,$4447.98
Dylan Farmer,43,$225.00
Shawn Jackson,52,$7597.22
Aiden Fletcher,44,$7022.88
Bruce Santos,21,$1185.60
Katharine Daniels,42,$9550.81
Gregory Perry,54,$2852.41
Estella Guzman,42,$6963.36
Joseph Lowe,38,$697.07
Lottie Ramos,18,$5237.78
Eula Mullins,29,$4452.33
Jerry Luna,22,$8102.54
Sophie Poole,51,$4421.92
Vernon Garrett,50,$3406.33
Nannie Fox,39,$3873.17
Stephen Vargas,65,$4379.55
Violet Alexander,45,$1851.19
Adrian Osborne,31,$655.20
Marian Evans,49,$8694.33
Luella Rose,61,$959.20
Lily Watson,33,$7882.66
Martha Ryan,52,$6936.52
Kate Lloyd,64,$2405.10
Garrett Silva,24,$7219.85
Elnora Holmes,45,$4325.19
Augusta Marsh,65,$7756.43
Josie Hudson,59,$5213.24
Matthew Howell,22,$4726.03
Herbert Kelley,43,$531.83
Mamie Holt,41,$6932.81
Sara Glover,56,$8899.57
Harry Simpson,59,$3775.87
Mattie Summers,42,$3858.15
Bess Parker,37,$3086.08
Birdie Abbott,34,$0.60
Genevieve Allen,27,$460.52
Lloyd Simon,64,$7024.66
Hunter Roberts,30,$5796.55
Alice Wagner,39,$6957.79
Kevin Hall,33,$5704.72
Gregory Soto,55,$2530.51
Polly Castillo,63,$5329.39
Mayme Armstrong,56,$4414.93
Fanny Colon,48,$5268.72
Sara Doyle,37,$6640.20
Josephine Watts,50,$419.79
Clayton Payne,40,$2714.28
Glenn Knight,42,$6903.14
Luis Copeland,53,$8358.92
Iva Black,64,$1858.82
Dennis Crawford,50,$8904.59
Mayme Jacobs,38,$6465.90
Ricardo Rowe,24,$3688.27
Nettie Francis,54,$5317.91
Ella Aguilar,25,$9681.23
Angel West,30,$4850.91
Ida Underwood,60,$5865.73
Eric Vega,59,$2050.77
Gerald Payne,55,$8505.05
Marc Cross,41,$3585.56
Adele Moran,32,$8625.22
Tom Daniel,64,$3602.50
Emma Bennett,55,$9692.75
Sadie May,48,$9738.38
Willie Hardy,25,$7438.75
Essie Santiago,43,$207.64
Gertrude Singleton,56,$4830.42
Jayden Phillips,65,$5974.30
Lawrence Manning,25,$3564.86
Louis Pittman,65,$4291.05
Rodney Gibson,53,$8875.93
Susan Carpenter,18,$9186.57
Glen Bennett,36,$2413.77
Lester Walker,57,$8689.36
Marvin McKinney,65,$7587.37
Billy Holmes,62,$5336.91
Mitchell Sherman,29,$2624.64
Amanda Hampton,31,$5662.06
Cameron Vasquez,49,$3688.20
Alma Holmes,18,$1994.48
Elijah Parker,39,$7393.37
Ralph Palmer,35,$1735.64
Helena Gomez,55,$1703.35
Virgie Newman,56,$1493.47
Edgar Franklin,45,$6603.07
Douglas Mason,59,$9497.05
Stanley Knight,26,$7196.34
Amelia Lowe,31,$2705.13
Marie Alexander,19,$316.18
Joseph Burgess,28,$5283.72
Alma Manning,42,$2801.26
Leona Myers,49,$6051.65
Max Nash,54,$3654.88
Ruth Hubbard,40,$4934.66
Lula Potter,58,$960.54
Stella Jensen,22,$9067.57
Mike Lambert,55,$5268.12
Louis Gibson,43,$6852.06
Sophia Taylor,19,$2079.58
Kathryn Underwood,32,$197.96
Eula Harris,35,$2516.78
Clyde Marshall,49,$7733.90
Amelia Hoffman,40,$8120.79
Oscar Burke,50,$3100.25
Franklin Ramirez,37,$2601.94
Mike Wood,30,$7202.77
Gabriel Rodriquez,36,$9468.04
Hettie Norman,57,$7330.89
Landon Silva,52,$9376.17
Pearl Casey,64,$6494.42
Isabel Daniel,49,$416.08
Dean Barker,50,$9230.97
Melvin Perkins,52,$3132.29
Joe Freeman,63,$6652.78
Lydia Hodges,42,$4530.72
Millie Schultz,33,$7956.56
Garrett Klein,27,$3802.97
Dennis Johnson,64,$9494.99
Maggie Morgan,64,$5641.60
Max Frazier,47,$3976.62
Harriett Graham,50,$68.25
Ollie Hill,37,$7049.03
Walter Vasquez,24,$4047.81
Cody Sandoval,26,$2664.09
Callie Mills,61,$4100.57
Glenn Pena,65,$2311.01
Jesse Newton,24,$9242.55
Edna Campbell,26,$1692.22
Donald Anderson,19,$5174.35
Jean Gomez,51,$5744.15
Virgie Elliott,40,$6186.98
Trevor Bradley,45,$1134.84
Allen King,38,$6543.68
Bradley Hardy,64,$2666.02
Andrew Gutierrez,19,$4456.72
Genevieve Steele,63,$4305.79
Carl Hardy,32,$4267.88
Carlos Harris,31,$816.99
Floyd Torres,57,$7638.33
Jose Ramirez,57,$7998.70
Jon Morgan,20,$5755.73
Johanna Cannon,51,$1476.22
Bessie Neal,38,$5802.97
Luis McBride,51,$1512.60
Lena Fox,22,$8237.05
Logan Cross,43,$1024.80
Isabel Gregory,30,$7486.37
Rodney Lucas,26,$4307.38
Vincent Owens,61,$6369.40
Garrett Chambers,32,$5849.75
Hilda Austin,50,$7536.17
Samuel Gibson,32,$3263.99
Frederick Flores,51,$424.72
May Rose,56,$3727.10
Roy Larson,25,$2931.80
Hallie Blair,51,$433.34
Alexander Floyd,54,$3816.00
Mabel Stephens,20,$9363.13
Leo Jackson,57,$4073.06
Ollie Silva,63,$3712.65
Eliza Conner,33,$3373.34
Chester Ellis,57,$6249.92
Aiden Clarke,37,$1708.29
Dora Day,56,$1170.35
Sallie Santiago,20,$503.11
Gregory Barker,26,$4978.18
Hallie Obrien,60,$201.56
Aiden Keller,54,$8838.60
Lela McCoy,45,$8224.71
Maria Cruz,54,$3827.86
Nicholas Sanders,50,$1180.47
Brent Holloway,42,$4710.80
Shane Lee,38,$845.97
Sally Butler,18,$9348.86
Gertrude Henderson,50,$5936.80
Jonathan Kim,29,$6051.91
Elnora Benson,44,$9726.67
Sean Greene,53,$8808.68
Peter Rodriguez,56,$8739.72
Nannie Nichols,65,$9194.12
Marion Kelly,45,$5481.85
Bryan Horton,32,$9266.06
Lily Robbins,37,$7748.32
Jim Perkins,51,$2480.22
Hallie Berry,26,$5348.88
Leo Torres,40,$6284.77
Christian Johnston,65,$9684.69
Ethan Douglas,57,$9127.37
Hannah Brady,26,$7303.53
Terry Ferguson,44,$700.94
Clara Wright,57,$5040.65
Sallie Oliver,23,$5460.65
Ernest Foster,63,$6872.14
Gary Powell,40,$6943.67
Chester Evans,57,$7596.69
Carrie McCormick,54,$6012.99
Leonard Taylor,30,$2121.48
Gary Morton,42,$8952.25
Beulah Fuller,60,$963.92
Pearl Figueroa,26,$8495.24
Angel Hanson,31,$1897.34
Clarence Park,41,$3310.13
Flora Hammond,52,$304.34
Jeremiah Myers,35,$6831.63
Martin Ramos,52,$5487.07
Evelyn Sanchez,46,$1965.76
Eliza Paul,19,$4541.66
Jane Greer,47,$9968.55
Bess Nash,62,$4038.56
Chester Salazar,36,$9373.58
Sean Moore,25,$5862.79
Lewis Vargas,46,$2482.98
Nathaniel Christensen,19,$6699.22
Mattie Ballard,23,$1353.58
Chad Figueroa,61,$7440.18
Teresa Steele,64,$8103.80
Irene Moody,60,$9087.13
Antonio Beck,28,$2252.50
Eugene Ingram,23,$592.91
Genevieve Miles,28,$3335.62
Johanna Houston,52,$3106.89
Jeremiah Adkins,51,$9775.90
Eliza Morgan,58,$6205.47
Lulu Brooks,55,$7088.39
Della Hernandez,51,$2479.62
Aiden McCarthy,65,$1963.68
Iva Jackson,32,$189.23
Duane Walsh,42,$7904.00
Clifford Glover,49,$7580.81
Henry Perry,48,$2547.70
Rosa Armstrong,64,$4287.51
Curtis Robertson,22,$8417.46
Lloyd Brown,37,$2237.87
Daisy Ortiz,37,$2379.24
Caroline McCoy,38,$8022.89
Nellie Butler,62,$1426.98
Elsie Lee,20,$1977.33
Connor Mack,36,$4978.26
Justin Nichols,29,$334.94
Eric Marshall,30,$181.28
Daisy Bell,32,$8297.75
Eliza Hamilton,27,$2715.95
Cole Salazar,35,$9818.13
Ruth Hubbard,58,$4359.96
Herbert Bass,62,$9776.89
Lewis Scott,57,$5979.80
Nora Gomez,20,$9718.15
Marie Montgomery,27,$7372.57
Ruby Austin,47,$4233.72
Cornelia Nash,50,$7031.63
Lura Floyd,52,$9229.32
Mark Robbins,63,$6873.37
Elsie Bates,34,$7214.54
Nathaniel McBride,41,$9150.80
Linnie Ellis,60,$3705.66
Lucinda Rodriguez,57,$5477.73
Corey McDonald,35,$1648.45
Mason Gibbs,22,$892.83
Raymond Manning,43,$5509.80
Lucile Abbott,51,$1772.66
Joel Rios,21,$4540.05
Virginia Joseph,43,$4681.65
Bill Rice,26,$4973.77
Lloyd Schultz,34,$8533.79
Scott Burns,37,$6058.55
Lily Brock,27,$2889.34
Chester Burke,60,$3661.93
Betty Baldwin,27,$1476.88
Marie Goodwin,58,$7254.39
Rachel Davis,45,$1216.91
Corey Howard,39,$9212.23
Jane Bryan,37,$5217.80
Oscar Lee,60,$1593.11
Sue Welch,22,$1733.61
Rose Kelley,42,$9582.44
Cole Willis,54,$5700.89
Jack Barnett,62,$7519.14
Herman Nichols,38,$6691.65
Nina Gibson,55,$1989.57
Bradley Bishop,25,$3073.87
Dylan Hicks,42,$6394.75
Adrian Griffith,34,$6704.64
Maurice Cook,34,$3437.17
Lena Valdez,52,$7203.95
Kevin Hines,63,$6684.27
Ora Tyler,58,$9137.54
Maude Gordon,40,$8956.84
Tom Marshall,58,$5140.69
Leon Mendez,52,$4754.43
Myra Blake,24,$2005.96
Anne Bass,39,$5357.96
Janie Craig,64,$2152.44
Oscar Jensen,57,$2343.68
Flora Fitzgerald,64,$4416.25
Alberta Pratt,46,$1069.91
Sean Duncan,35,$9873.90
Steve Howell,56,$1147.04
Olive Hansen,58,$4976.56
Ethel Dean,47,$1433.41
Mario Silva,65,$1880.06
Martin Reeves,65,$1432.10
Andrew Morrison,47,$4633.56
Gene Moreno,57,$4329.52
Harriet Lee,58,$5536.45
Susan Payne,36,$8180.58
Lillie Strickland,31,$8144.43
Ollie Day,32,$870.83
Hallie Casey,34,$6063.24
Nannie Dennis,25,$9892.32
Ivan Jordan,58,$10.21
Lizzie Alexander,24,$4747.88
Rosa Ramos,63,$2072.65
Ola Miles,63,$7463.91
Glenn Warner,54,$1032.42
Alma Reed,32,$9122.85
Edwin Gilbert,55,$9726.24
Erik Pena,23,$7997.95
Barbara Vaughn,25,$6052.54
Cameron Henderson,52,$8681.71
Bobby Hawkins,44,$2159.43
Victoria Page,30,$4950.09
Gene Anderson,59,$465.43
Alex Ruiz,21,$7335.01
Catherine Sutton,55,$3149.17
Rena Daniels,26,$9142.04
Nancy Howard,63,$4895.07
Dominic Boyd,38,$7524.42
John Porter,50,$1471.28
Maggie Montgomery,65,$8627.33
Brent Griffith,48,$5266.62
Peter Ryan,24,$7021.47
Oscar Mathis,28,$490.63
Steven Long,31,$6561.51
Lois Myers,25,$3207.38
Gordon Hogan,19,$6978.38
Stella Simmons,65,$1499.43
Bessie Lawrence,19,$7206.28
Arthur Washington,30,$458.78
Alvin Hernandez,59,$6835.62
Ronald Lee,28,$7423.90
Cory Diaz,31,$2535.44
Ethan Rios,21,$8425.17
Lettie Soto,40,$5269.81
Eddie Shaw,36,$2939.99
Justin Hanson,36,$8398.08
Milton May,31,$6109.95
Nancy Kelly,51,$3453.79
Jayden Reid,37,$9532.46
Mable Townsend,23,$7536.18
Sadie Fernandez,61,$6522.15
Justin Ellis,52,$7362.44
Alejandro Lambert,44,$3184.21
Victor Keller,52,$5884.72
Harriett Brewer,45,$341.31
Laura Bridges,56,$5727.99
Amanda Holloway,18,$3057.98
Hulda Collins,20,$2621.87
Craig Henry,22,$6526.60
Amy Ryan,51,$2881.17
Isabel Fisher,28,$9813.93
Cornelia Wolfe,33,$4831.22
Edward Jones,34,$6569.38
Anne Weaver,57,$4199.60
Franklin Crawford,19,$110.32
Samuel Mendoza,24,$2916.31
Bertha Waters,23,$4808.18
Lloyd Schultz,46,$4293.52
Trevor Murray,30,$9509.97
Abbie Walsh,32,$6788.63
Jesus Burke,65,$6157.97
Oscar Lee,61,$856.38
Katharine Gregory,56,$6976.48
Miguel Burgess,54,$6925.28
Ethel Graves,27,$5520.74
Richard Huff,59,$5671.43
Mollie Butler,19,$4259.53
Virgie McDonald,22,$1551.20
Caleb Schultz,31,$2918.38
Evan Horton,61,$2085.03
Terry Maxwell,44,$1576.77
Lewis Carroll,24,$1952.86
Flora Page,23,$2423.24
Herbert Parsons,39,$9952.23
Corey Sparks,59,$4764.83
Margaret Cunningham,62,$4734.15
Matilda Jefferson,43,$8492.83
Tom Dennis,61,$8866.13
John Torres,53,$5522.07
Charlotte Page,65,$4817.08
Rhoda Warren,19,$5153.97
Elmer Doyle,28,$2955.64
Elmer Cortez,27,$601.73
Nina Reynolds,20,$4583.95
Caleb Gibbs,39,$9319.14
Isabel Brock,31,$3885.12
Anne Byrd,51,$5421.72
Steven Myers,61,$5103.32
Philip Osborne,41,$1430.65
Elsie McLaughlin,19,$9779.10
Julian Klein,34,$454.75
Minerva Sutton,36,$3354.05
Jeremy Neal,23,$2753.85
Ina Rodriquez,22,$9167.38
Essie Barton,62,$3322.13
Luella Tate,33,$241.33
Teresa McLaughlin,22,$1693.84
Jack Floyd,31,$577.46
Mittie Barnett,52,$7652.72
Iva Bates,33,$9118.78
Vernon Greene,24,$1914.17
Terry Murray,18,$1650.86
Curtis Medina,32,$7865.18
